overall,asin,reviewText,time,year
5.0,0001713353,The kids loved it!,2016-06-20,2016
5.0,0001713353,My students (3 & 4 year olds) loved this book!  Definitely recommend it to other teachers.,2016-01-24,2016
5.0,0001061240,I had this book as a child and loved it. The collection of poems is a broad and deep as I remembered,2016-10-06,2016
5.0,0001712799,It arrived on time and in listed description.,2016-10-31,2016
5.0,0001712799,"""U"" is for UP! Great book",2016-09-27,2016
1.0,0001712799,"Completly boring!!! Yes it's a childerns book that they will be able to read beacuse 60% of the book is the word Up.
This one never gets picked for story time just sits on the shelf.
We love Dr Seuss books but this one is disappointing.",2016-02-20,2016
5.0,0002005263,"Typical Hillerman, the only mystery set in modern day- series of American Indian culture wrapped in Traditional and Ancient ethnology that held my interest from start to finish, you will love the characters (the good guys) and despise the (bad guys) and see the unconscionable results of the Indian downfall, and hopeful transitions made for their future in transition.  I recommend obtaining all of the series and read them in order, starting with the ""Blessing Way"".",2016-11-06,2016
5.0,0002005263,A very good read.,2016-08-10,2016
5.0,0002005263,Learn something new with every HIllerman book.,2016-06-30,2016
4.0,0002005263,good read,2016-04-22,2016
5.0,0002005263,great book,2016-04-21,2016
5.0,0002005263,Anything Tony Hillerman wrote is top shelf!,2016-03-30,2016
4.0,0002005263,"Hillerman has a poetic way of describing the setting for his stories.  The stories include
detailed information about the traditions of the Navajos...their beliefs and how they have
Adapted to modern day living.  I enjoy his stories because I knew nothing about the Native
Americans.  The story plots are always unique and the endings unexpected.  He is a good
Storyteller.",2016-02-29,2016
5.0,0002005263,Great story teller.,2016-02-08,2016
5.0,0002005263,Love it.,2016-01-09,2016
5.0,0002005263,"As always Hillerman fills my mind with pictures of Canyon De Chelle that I visited when in my teens. The meeting again of friends, Leaphorn, Chee, and Bernie, make my dreams complete.",2016-01-02,2016
3.0,0001384198,"The reason that I gave this book three stars is that they have changed the engine to ""a girl"".  I recognize the value in that change for little girls and think it's perfect to teach girls that they can do what they want to do. However, I have a little boy. I have observed that we seemed to have moved from one extreme to another.  I want my little boy to know he too can reach for the stars.",2016-12-29,2016
5.0,0001384198,"I know this isn't the full version, which is part of the reason why I love it so much! It's a board book and the story is short enough (and fun enough) to keep a little ones attention all the way through.  It was my son's favorite book when he was little and I was thrilled to find this for my nephew! Over 15 years later, and I still know almost all the words!",2016-12-29,2016
5.0,0001384198,My grandson loves this classic story and the art work is beautiful,2016-12-28,2016
1.0,0001384198,"It had tears, some label covering a defect and also wrinkled pages.",2016-12-10,2016
4.0,0001384198,I enjoyed this book and my 18 month old does too.  My son LOVES books so this may be advanced for most 18 month olds.  I like that the book is full of vocabulary we tend to not use these days. The pictures are not my style but still good.,2016-12-05,2016
2.0,0001384198,It was ok. I had the original board book one and my son loved it. I had to replace it from all the wear of it being used. This one just seems like they cut out all the good stuff. Doesn't really feel like a story as much anymore. I hate saying that because I know there's always out there complaining when they revamp or edit a story. This time I think the editing cut down to much of the stories main theme.,2016-12-03,2016
5.0,0001384198,Classic book that reminds us to try hard all the time.,2016-11-23,2016
3.0,0001384198,"The book itself is in pretty good condition, it has thick pages and a little track that the wind-up mini train is supposed to ""ride"" along throughout the book. However, the mini train was not included, which I'm pissed off about, since it's actually listed in the title of the item!! I don't want a refund, my husband just found a tiny miniature Thomas the Train that our grandson can drive along the tracks by hand instead. I'm just disappointed.",2016-10-25,2016
5.0,0001384198,"How many  of us know that ""The Little Engine that Could"" is female? How delightful!",2016-10-25,2016
5.0,0001384198,"What else is there to say about a classic?  I made a box of childhood memories for a high school senior, and this is one of the things I included, as all my kids have heard this story so many times, as did I and my brothers in our childhoods.",2016-10-02,2016
